id,importanceSampling
11,5.902476
12,13.072194
13,6.843954
14,3.031390
15,9.608975
16,16.322248
17,4.835337
18,14.971979
19,13.046604
20,12.529546
21,7.402527
22,6.389042
23,6.036369
24,7.411292
25,6.867205
26,4.478345
27,13.511553
28,11.081719
29,4.320995
30,7.747603
31,5.930901
32,12.039591
33,11.687593
34,5.786996
35,2.324436
36,4.733328
37,13.508583
38,10.551723
39,4.136544
40,6.579984
41,13.161772
42,10.013920
43,11.392253
44,10.490028
45,8.229082
46,10.306482
47,3.817671
48,6.298993
49,4.742312
50,4.991697
51,9.960050
52,4.888780
53,9.651088
54,12.930941
55,14.852319
56,4.139644
57,5.248627
58,4.222444
59,7.800243
60,6.283684
