parameter,value,CV,se_sa,rse_sa
theta0_pop,-3.18774125163939,,0.00738203442894718,0.231575709764736
beta_theta0_SEX_Male,1.67877299229077,,0.00196165645718137,0.116850608521203
beta_theta0_TRTACT_1600_mg,0.607622083467588,,0.0050023807907392,0.823271722151954
beta_theta0_TRTACT_200_mg,-0.48005592683637,,0.00541133367855235,1.12722984470033
beta_theta0_TRTACT_400_mg,-0.110157339644755,,0.00337489347988058,3.06370278255105
beta_theta0_TRTACT_800_mg,0.674764902572167,,0.00377119645380028,0.558890428269859
beta_theta0_WEIGHTB,-0.0114537774330412,,7.68290115470896e-05,0.670774440975759
beta_time_pop,0.94989301100099,,0.0898247062527271,9.45629720531058
beta_beta_time_SEX_Male,-1.9790775822288,,0.336020046822889,16.9786192234297
omega_theta0,0.00133761458565472,-0.041961203249066,0.000630764788120766,47.1559442372576
omega_beta_time,0.372998374729028,38.6355992758444,0.0950720592981733,25.4885988088394
